spindle_speed,feed_rate,depth_of_cut,tool_wear,vibration_rms,temperature,coolant_flow,defect
1551,261,1.68,0.688,1.006,76.9,7.4,0
943,217,0.96,0.397,1.002,84.0,2.5,0
1408,358,1.71,0.48,0.629,54.3,7.0,0
1947,478,1.78,0.686,0.559,70.7,4.1,0
986,405,2.35,0.017,0.623,76.8,5.1,0
1263,367,2.25,0.323,0.659,64.5,6.8,0
1459,153,1.51,0.973,0.707,77.1,7.3,1
1563,335,1.05,0.58,1.167,85.6,4.1,0
1754,488,2.11,0.254,1.314,56.2,4.8,1
1202,321,1.55,0.522,0.74,63.1,4.5,0
946,350,0.83,0.343,0.547,76.8,2.1,0
1971,412,2.75,0.532,0.6,79.6,3.8,0
1663,211,2.23,0.126,0.646,82.4,4.8,0
1288,354,2.21,0.133,0.543,76.1,4.5,0
1728,402,2.56,0.144,0.582,79.6,6.3,0
1350,306,1.82,0.94,0.8,84.0,4.3,1
1137,328,2.54,0.733,0.516,70.9,4.9,0
1671,440,1.75,0.162,0.744,68.9,4.6,0
1440,497,0.67,0.188,0.786,73.3,6.4,0
1272,165,1.51,0.731,0.786,77.0,7.2,1
950,174,1.74,0.156,0.821,68.4,5.2,0
1062,202,2.3,0.235,1.081,71.1,6.7,1
943,291,0.77,0.963,0.644,79.0,3.8,0
1145,351,0.85,0.255,0.714,76.6,5.2,0
1423,325,1.16,0.662,0.552,73.1,4.1,0
1816,393,1.17,0.979,0.551,57.6,4.5,0
1680,405,2.33,0.374,0.539,75.0,6.4,0
801,197,1.13,0.018,0.647,65.3,7.3,0
1696,437,2.08,0.244,1.084,84.8,2.7,1
1053,385,1.74,0.831,0.735,71.9,5.8,1
1252,434,1.93,0.865,0.821,65.0,5.5,0
1860,446,2.6,0.769,0.718,74.4,2.7,1
1983,407,1.51,0.113,0.545,87.7,3.3,0
1814,348,2.43,0.796,0.571,81.3,3.9,1
808,265,1.56,0.919,0.605,77.2,3.0,0
1922,434,1.38,0.601,1.007,61.7,3.5,1
1615,129,2.9,0.941,0.848,91.2,3.6,1
1007,346,0.96,0.827,0.613,68.8,4.0,1
1954,205,0.73,0.667,0.663,84.3,6.5,0
1203,150,2.43,0.577,0.876,71.7,5.4,0
951,180,0.67,0.349,0.623,83.4,7.9,0
853,232,2.59,0.159,0.501,88.1,4.5,0
1943,384,1.59,0.605,0.634,81.5,6.5,0
1427,487,2.79,0.318,0.711,82.6,7.2,0
1386,237,2.3,0.866,0.667,74.0,6.1,0
903,283,2.03,0.993,0.819,70.7,4.5,0
1053,429,2.87,0.752,0.592,76.4,6.5,1
1935,372,1.49,0.09,0.539,71.6,3.2,0
1309,439,2.89,0.289,0.747,99.7,4.0,0
898,168,0.84,0.109,0.549,65.1,5.3,0
952,133,1.71,0.651,0.641,85.0,5.5,0
1713,361,1.17,0.765,1.074,80.2,2.1,1
1677,152,1.85,0.926,0.804,77.3,7.7,0
1137,304,0.91,0.438,1.185,89.8,6.2,1
1621,225,2.6,0.901,0.572,78.0,5.0,1
1986,334,2.62,0.878,0.929,68.7,7.6,1
1756,142,2.89,0.317,0.901,77.9,4.6,0
960,339,0.89,0.869,0.665,73.2,7.9,0
1600,470,2.06,0.376,0.571,80.0,5.1,0
1197,210,1.69,0.297,0.845,83.1,2.7,0
1615,348,1.36,0.649,0.621,66.4,6.6,0
1958,250,1.38,0.328,0.765,87.0,6.1,0
1200,282,1.53,0.63,0.56,72.5,6.6,0
1439,435,2.26,0.61,0.543,79.4,7.7,0
1856,194,2.0,0.563,0.537,81.2,6.7,0
1487,473,1.65,0.38,0.836,78.7,5.7,0
1259,499,0.69,0.548,0.753,73.9,7.1,0
1754,107,0.69,0.596,0.801,70.1,6.0,0
1269,487,0.51,0.546,0.591,72.3,4.4,0
1845,459,2.92,0.444,0.567,90.7,7.3,0
1549,487,0.51,0.015,0.522,66.3,3.3,0
837,283,0.76,0.587,0.507,67.8,6.3,0
1029,380,1.29,0.168,0.504,67.4,7.3,0
1362,294,2.52,0.643,0.937,76.4,6.4,1
1237,451,2.91,0.759,0.753,59.8,6.2,1
826,294,2.48,0.5,0.609,61.5,6.5,0
1025,254,2.23,0.542,0.975,72.4,4.8,0
1597,192,1.8,0.951,0.582,62.1,7.2,1
1083,259,0.72,0.847,0.607,62.9,3.2,0
1678,160,2.9,0.914,0.751,62.2,2.8,1
1759,221,2.4,0.814,0.649,66.5,3.7,0
1252,150,2.1,0.109,0.707,82.3,5.2,0
1819,376,2.4,0.149,0.526,84.6,5.1,0
1615,104,2.31,0.527,0.692,94.2,6.9,0
1458,191,2.09,0.246,0.61,93.8,4.4,0
1346,269,2.95,0.477,0.976,82.9,4.9,1
1872,416,2.76,0.394,0.766,85.3,2.1,0
816,121,2.12,0.549,0.534,76.3,4.5,0
1995,425,2.23,0.747,0.885,80.2,5.9,1
957,100,0.63,0.715,0.777,94.4,2.1,1
1276,232,2.17,0.521,0.879,78.7,3.7,0
1869,332,0.61,0.822,0.639,86.5,3.2,1
1317,111,1.97,0.431,0.741,65.7,2.3,0
898,445,3.0,0.897,1.139,68.3,4.9,1
1860,145,1.89,0.071,0.744,78.1,3.1,0
1079,133,1.68,0.955,0.562,76.5,6.5,0
1296,177,1.28,0.655,0.907,68.8,7.1,0
1101,317,0.8,0.38,0.579,99.1,5.3,0
980,400,2.33,0.197,0.881,76.7,7.9,0
1406,172,0.98,0.479,0.712,70.6,4.7,0
1922,381,0.79,0.195,0.783,76.5,5.1,0
1499,348,1.55,0.166,0.837,75.3,7.9,0
1792,146,2.49,0.617,0.843,76.9,3.4,0
1939,220,2.36,0.523,0.661,59.1,7.7,0
990,313,0.64,0.67,0.515,87.9,2.3,0
1052,338,1.64,0.93,0.787,88.5,4.7,0
1780,155,1.81,0.532,1.106,89.7,2.4,1
1727,449,2.11,0.581,1.049,78.3,6.4,0
1984,206,2.13,0.09,0.614,81.6,5.7,0
927,418,1.41,0.718,0.836,66.3,6.2,1
817,147,1.9,0.4,0.737,83.3,4.2,0
1365,160,1.7,0.977,0.582,77.5,4.2,1
1369,436,2.71,0.823,0.508,70.4,2.3,1
1485,125,1.83,0.522,0.885,83.6,4.1,0
1425,391,1.6,0.123,0.628,84.0,7.6,0
1653,356,1.51,0.859,0.527,75.6,4.3,1
1761,107,1.93,0.8,0.907,79.4,7.0,1
954,212,2.51,0.185,0.738,64.7,7.1,0
1289,454,1.85,0.295,0.665,87.4,4.2,0
1584,352,2.15,0.793,0.783,66.0,5.8,0
1927,279,2.34,0.185,0.758,67.9,2.6,0
1045,306,1.8,0.918,0.843,75.6,2.6,0
1999,402,1.57,0.425,0.503,86.1,2.3,0
1862,226,2.69,0.087,0.591,86.1,5.5,0
1558,155,1.54,0.816,0.61,75.0,4.6,1
1337,313,1.65,0.374,0.685,82.7,5.3,0
1720,113,2.98,0.526,0.617,58.1,5.1,0
1207,127,0.5,0.112,0.732,67.8,4.1,0
1324,177,0.96,0.003,0.651,68.0,6.1,0
1627,315,1.46,0.638,0.668,87.5,6.6,0
1702,485,2.83,0.515,0.588,81.5,2.1,0
835,464,0.68,0.594,0.522,76.8,3.2,0
1484,253,0.52,0.794,0.878,77.8,6.3,1
819,113,0.63,0.647,0.803,90.7,4.3,0
1120,286,0.72,0.175,0.583,73.3,6.0,0
1311,411,0.59,0.361,0.72,61.9,4.1,0
1199,470,1.7,0.906,0.833,85.9,4.3,1
1453,106,1.95,0.77,0.752,76.8,3.0,1
1771,102,1.18,0.557,0.54,84.5,3.5,0
1270,210,1.5,0.256,0.534,74.6,5.6,0
1966,337,0.73,0.302,0.987,66.6,4.6,1
1915,462,1.34,0.732,0.548,79.0,6.6,1
1633,338,1.81,0.851,0.68,75.1,7.1,0
1526,373,2.33,0.671,0.992,76.8,5.2,0
1653,393,0.51,0.81,0.575,91.2,6.5,1
850,326,1.67,0.767,0.626,64.0,3.8,1
1374,470,1.24,0.15,0.634,77.9,4.5,0
1948,114,2.63,0.424,0.864,66.8,6.3,0
949,291,2.29,0.153,1.083,49.1,4.3,1
1113,218,1.97,0.235,0.987,74.5,5.5,0
1369,127,1.19,0.869,0.739,75.3,3.1,0
1104,301,2.78,0.473,0.686,81.2,5.6,0
1481,138,0.61,0.535,0.643,72.8,7.2,0
1637,372,0.77,0.178,0.7,60.1,7.2,0
1877,330,1.48,0.312,0.595,66.8,6.3,0
1802,185,0.81,0.23,0.703,88.2,6.5,0
1243,225,2.89,0.206,0.641,66.6,5.3,0
1412,399,2.49,0.638,0.802,90.8,5.5,0
1792,124,1.15,0.257,0.567,85.5,2.8,0
1063,244,1.97,0.632,0.678,71.8,4.7,0
1876,112,2.96,0.058,0.601,67.7,4.7,0
1803,311,2.71,0.142,0.63,85.5,7.8,0
804,124,2.0,0.275,0.678,72.6,4.6,0
1926,167,2.76,0.597,0.558,59.5,5.3,0
1573,493,2.97,0.676,0.651,80.6,5.2,0
1676,166,2.36,0.443,0.933,79.2,5.8,0
1791,332,0.66,0.446,0.603,86.4,6.5,0
1683,208,1.5,0.725,0.566,78.5,3.4,0
846,245,2.59,0.016,0.705,69.5,5.2,0
1666,210,1.08,0.341,0.678,87.7,7.0,0
1622,327,2.58,0.819,0.758,88.7,4.8,1
1735,210,0.8,0.603,0.604,77.3,3.7,0
1455,133,0.62,0.337,0.968,75.6,5.9,1
1068,210,1.46,0.906,0.928,61.8,6.9,1
1169,363,0.59,0.773,0.672,68.9,2.4,1
1435,468,2.89,0.265,0.896,82.6,6.7,0
1929,335,2.57,0.645,0.571,69.4,6.9,0
1456,182,2.5,0.596,0.804,60.4,4.8,0
919,141,2.07,0.401,0.529,110.0,7.9,0
1630,200,1.04,0.367,0.924,60.4,6.7,0
1881,105,1.8,0.344,0.515,97.6,6.6,0
1540,279,1.99,0.617,0.591,71.9,6.5,0
916,381,1.81,0.442,0.616,74.2,2.9,0
1590,419,1.15,0.832,0.709,68.3,3.3,1
1950,325,1.79,0.67,0.753,82.8,4.8,0
1812,414,1.73,0.07,0.649,60.6,3.6,0
1881,464,2.99,0.64,0.512,56.6,4.5,0
1433,328,2.74,0.271,0.546,91.1,7.3,0
1312,476,1.66,0.593,1.113,67.0,6.9,1
1601,388,2.06,0.68,0.783,82.5,5.8,0
1919,249,2.37,0.231,1.16,64.1,7.1,1
1941,376,0.59,0.457,0.66,82.1,6.7,0
1359,297,2.74,0.19,0.942,91.8,4.6,1
1287,169,2.65,0.052,0.579,69.7,3.2,0
1696,211,1.64,0.378,1.01,55.7,5.1,0
1503,103,1.48,0.363,0.658,91.9,6.4,0
1380,449,1.18,0.995,0.724,84.3,4.6,1
1589,430,1.69,0.446,0.766,70.3,6.0,0
1660,417,0.61,0.334,0.697,72.8,2.6,0
1046,449,2.63,0.58,0.545,63.9,6.5,0
1899,194,0.59,0.089,0.859,89.2,6.9,0
953,251,1.32,0.962,0.882,69.7,6.2,1
1796,410,2.83,0.635,0.872,60.8,7.8,0
1909,236,2.34,0.755,0.534,77.1,7.0,0
1496,346,1.2,0.17,0.667,66.4,7.4,0
1892,486,1.13,0.409,1.008,64.7,7.6,0
1870,342,0.51,0.423,0.756,70.7,6.8,0
1808,130,2.24,0.822,0.705,75.9,6.0,1
893,139,0.62,0.001,1.058,61.2,2.0,1
1757,328,1.83,0.301,0.758,88.9,4.8,0
1811,135,2.91,0.981,0.742,81.8,5.4,1
1252,322,0.77,0.475,0.715,71.3,3.8,0
1711,105,2.74,0.383,1.017,66.0,3.9,0
1017,421,2.98,0.12,0.525,74.1,7.8,0
1273,319,0.65,0.974,0.654,84.0,7.4,0
1231,174,2.71,0.02,0.508,82.4,7.1,0
1140,103,1.79,0.737,0.655,85.6,4.4,1
1350,434,2.77,0.769,0.572,70.2,2.1,1
1156,233,1.93,0.244,0.523,45.8,2.5,0
822,217,2.16,0.672,0.763,87.5,3.9,0
1321,468,1.86,0.093,0.617,73.3,2.1,0
1923,193,2.66,0.257,0.765,81.7,2.1,0
1601,161,2.33,0.788,0.605,91.7,7.5,1
1561,293,1.8,0.865,0.607,99.3,6.2,1
1241,434,2.67,0.608,0.523,68.5,3.9,0
1568,302,1.11,0.507,0.69,76.3,2.8,0
1815,491,0.89,0.159,0.674,88.7,5.1,0
1315,125,0.9,0.063,0.86,66.6,2.0,0
1839,272,1.34,0.118,0.743,69.2,7.6,0
1591,399,1.1,0.227,0.617,69.1,4.5,0
1135,232,2.83,0.342,0.718,74.7,4.4,0
1057,425,0.76,0.381,0.702,72.8,4.3,0
1296,217,2.25,0.346,0.562,69.1,2.4,0
1695,423,0.97,0.239,1.025,65.3,5.8,1
959,374,2.7,0.51,0.772,83.1,6.4,0
1651,311,2.9,0.825,0.565,88.4,6.1,1
1489,324,1.66,0.28,0.742,89.8,2.8,0
1179,119,2.7,0.942,0.562,70.2,5.5,0
1756,212,0.51,0.873,0.556,83.5,5.4,0
1490,239,2.55,0.162,0.978,77.4,7.2,1
1991,146,1.07,0.786,0.924,69.3,4.3,1
1866,100,2.77,0.575,1.278,82.3,4.2,0
1084,189,0.5,0.567,0.669,68.8,5.7,0
1196,241,1.89,0.391,1.183,71.2,5.8,0
811,419,2.39,0.501,0.886,61.2,4.8,0
1298,137,1.15,0.397,1.289,70.4,4.7,1
1553,392,0.98,0.54,0.789,77.5,5.0,0
834,481,0.71,0.628,1.209,90.7,7.2,1
1526,238,1.32,0.674,0.589,71.5,4.8,0
1648,455,1.9,0.532,0.587,64.6,7.6,0
889,432,0.79,0.721,0.593,90.0,5.0,1
1575,358,1.44,0.141,1.038,70.0,7.7,1
1404,260,0.52,0.212,0.935,57.5,7.0,0
1769,489,2.55,0.819,0.595,76.3,4.2,0
1821,277,0.82,0.323,0.653,71.8,7.2,0
1217,109,1.21,0.023,0.535,98.0,2.7,0
914,360,0.55,0.154,0.749,79.8,7.6,0
1416,237,1.58,0.224,0.675,73.5,5.8,0
1625,271,2.6,0.957,0.755,65.8,2.3,1
1898,485,1.48,0.573,0.673,78.3,5.9,0
1212,112,0.95,0.933,0.811,89.6,7.8,1
1528,267,2.38,0.575,0.526,78.1,2.4,0
1820,229,2.47,0.479,0.631,66.5,5.3,0
1560,183,0.93,0.314,0.521,80.4,6.5,0
1475,420,2.43,0.606,0.588,74.5,6.9,0
1256,418,2.87,0.139,0.534,79.5,4.5,0
1719,200,0.92,0.898,0.727,71.5,3.2,0
991,428,2.43,0.829,0.526,71.2,2.3,1
1538,372,2.27,0.318,0.611,70.8,5.5,0
1922,364,1.68,0.953,0.837,84.4,4.7,0
1777,498,0.64,0.825,0.674,71.3,7.7,1
1808,137,0.69,0.666,0.604,70.4,2.4,0
895,193,2.63,0.122,0.855,65.6,6.1,0
1462,194,2.98,0.478,0.751,79.5,2.1,0
836,404,2.19,0.506,0.859,78.1,3.0,0
1078,168,1.61,0.233,0.809,70.5,4.7,0
1016,417,2.12,0.08,0.706,67.9,4.7,0
1666,335,1.99,0.777,0.626,93.8,6.1,1
1672,433,1.46,0.122,0.613,56.2,7.5,0
861,472,0.66,0.594,0.673,79.9,5.8,0
1395,475,2.55,0.936,0.823,87.9,7.7,1
1528,236,1.43,0.876,0.678,41.1,7.3,1
1196,175,2.55,0.278,0.701,82.9,5.5,0
1498,134,1.13,0.851,0.58,72.8,7.0,1
1842,100,0.5,0.0,0.84,77.6,5.9,0
976,395,0.9,0.018,1.16,71.8,2.5,1
1195,419,1.67,0.603,0.562,85.8,6.4,0
1244,159,2.86,0.365,0.757,78.6,2.6,0
875,419,0.76,0.386,0.84,76.3,5.6,0
1064,448,2.64,0.564,0.744,66.0,6.2,0
1254,427,1.82,0.192,1.035,93.8,2.4,0
1517,366,2.56,0.212,0.82,75.1,3.4,0
1534,460,1.25,0.485,0.743,97.9,7.5,0
1650,328,2.6,0.754,0.592,94.3,5.7,1
943,369,2.43,0.619,0.517,57.2,3.5,0
1684,415,1.08,0.297,1.264,68.5,6.1,0
1892,385,0.83,0.43,0.59,64.6,5.6,0
1922,390,2.67,0.171,0.595,74.5,5.0,0
1195,312,2.91,0.075,0.899,76.9,7.9,0
1848,264,0.58,0.783,0.729,77.3,6.1,0
1747,104,2.33,0.265,0.885,85.5,4.3,0
1690,438,2.77,0.178,0.535,89.9,6.8,0
1974,478,2.64,0.692,0.595,84.7,7.3,0
1967,177,2.91,0.618,1.07,69.4,2.8,1
1368,161,2.4,0.633,0.751,67.2,3.2,0
1862,231,1.61,0.229,0.531,75.0,3.3,0
908,188,1.28,0.233,0.739,79.3,6.1,0
1865,336,1.3,0.221,0.559,73.2,5.6,0
1734,141,2.31,0.174,0.671,61.5,5.7,0
1197,188,2.36,0.656,0.686,81.8,7.6,0
1433,395,1.0,0.848,0.901,71.1,6.7,1
1956,427,2.67,0.724,0.542,70.8,2.8,0
1986,394,2.29,0.792,0.551,74.5,4.1,1
1532,203,1.91,0.405,0.694,72.6,4.6,0
1034,113,1.68,0.654,0.589,71.3,4.4,0
1457,387,1.86,0.354,0.825,62.2,6.0,0
1550,278,0.9,0.526,0.524,73.9,7.4,0
1387,224,1.01,0.482,0.741,82.0,3.8,0
1832,452,0.73,0.177,0.579,77.6,5.3,0
1897,122,0.88,0.387,0.815,84.5,6.7,0
